,Unnamed: 0,doc_id,bio,genre_auto,Detailed_counter,Detailed_markers,model,prompt_version,disability_in_prompt,run,quant,categories,disabilities,locations,locations_raw,names,organisations,categories_parsed,disabilities_parsed,locations_parsed,locations_raw_parsed,names_parsed,organisations_parsed,handicaps moteurs,handicaps sensoriels,handicaps psychiques,handicaps cognitifs,handicaps mentaux,maladies chroniques évolutives ou invalidantes,maladies génétiques,none,other,is_Fem,is_Masc
339,339,qwen_v1_long_nodis_38_torch.txt,"Élise Moreau est née le 12 mai 1985 à Lyon, dans une famille d'artisans. Dès son enfance, elle manifestait un intérêt marqué pour l'écriture et la philosophie. Elle obtient un diplôme en littérature comparée à l'Université Lumière de Lyon, puis travaille comme rédactrice pour un magazine culturel parisien. Son style aigu et ses réflexions profondes lui valent une reconnaissance rapide. Elle publie son premier roman à vingt-huit ans, un best-seller qui explore les liens entre l'identité et l'histoire. Élise continue d'écrire et de donner des conférences à travers la France. Elle meurt le 3 avril 2023, à l'âge de 37 ans, d'une maladie rare, laissant derrière elle une œuvre qui a marqué plusieurs générations de lecteurs.",Fem,Counter({'Fem': 5}),"[née, rédactrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,38,torch,['autres termes'],['maladie rare'],"['Bretagne', 'Paris', 'Saint-Malo']","['Bretagne', 'Paris', 'Saint-Malo']","['Chopin', 'Dvořák', 'Marie-Claire', 'Marie-Claire Lefèvre']","['Orchestre de Paris', 'Orchestre national de France', 'École Normale de Musique de Paris']",['autres termes'],['maladie rare'],"['Bretagne', 'Paris', 'Saint-Malo']","['Bretagne', 'Paris', 'Saint-Malo']","['Chopin', 'Dvořák', 'Marie-Claire', 'Marie-Claire Lefèvre']","['Orchestre de Paris', 'Orchestre national de France', 'École Normale de Musique de Paris']",False,False,False,False,False,False,False,False,True,True,False
363,363,qwen_v1_long_nodis_21_torch.txt,"Élise Moreau est née le 12 mai 1985 à Lyon, dans une famille d'artistes. Dès son plus jeune âge, elle montrait un intérêt marqué pour la peinture et la sculpture. Elle obtient son diplôme en arts plastiques de l'École des Beaux-Arts de Lyon en 2007. Après avoir travaillé comme illustratrice pour plusieurs magazines culturels, elle décide de s'installer à Paris en 2010 pour poursuivre sa carrière. Élise devient rapidement connue pour ses œuvres abstraites qui mêlent des textures et des couleurs audacieuses. Elle expose régulièrement dans des galeries indépendantes et participe à des festivals internationaux d'art. Malgré son succès, elle reste très discrète et se concentre sur son art. Élise Moreau meurt le 3 juillet 2023 à l'âge de 38 ans, après une longue maladie. Son héritage artistique continue d'inspirer de nouveaux talents.",Fem,Counter({'Fem': 5}),"[née, illustratrice, connue, 'elle (pronom majoritaire)']",qwen,v1_long,False,21,torch,['autres termes'],['maladie'],[],[],['Émilie'],[],['autres termes'],['maladie'],[],[],['Émilie'],[],False,False,False,False,False,False,False,False,True,True,False
380,380,qwen_v1_long_nodis_35_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artisans. Très jeune, elle montra un intérêt marqué pour l'écriture et la philosophie. Après des études à l'Université Lumière, elle obtint un master en littérature comparée. Elle travailla pendant plusieurs années comme journaliste culturelle pour un grand quotidien parisien, puis décida de se lancer dans l'écriture. Son premier roman, « Les Ombres de la lumière », fut un succès en 2018. Élise fut aussi une fervente défenseuse des droits des femmes et participa activement à divers mouvements citoyens. Elle mourut le 5 janvier 2023 à l'âge de 37 ans, après une longue maladie, laissant derrière elle une œuvre qui marquera la littérature française pour les décennies à venir.",Fem,Counter({'Fem': 5}),"[fervente, défenseuse, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,35,torch,['autres termes'],['maladie'],"['France', 'Paris', 'Verneuil']","['France', 'Paris', 'Verneuil']",['Émilie'],['de musique'],['autres termes'],['maladie'],"['France', 'Paris', 'Verneuil']","['France', 'Paris', 'Verneuil']",['Émilie'],['de musique'],False,False,False,False,False,False,False,False,True,True,False
402,402,qwen_v1_long_nodis_41_awq.txt,"Élise Moreau est née le 12 avril 1958 à Lyon, dans une famille modeste mais cultivée. Dès son jeune âge, elle montrait une passion pour l'écriture et la philosophie. Elle obtient son baccalauréat avec mention très bien en lettres modernes, puis poursuit des études de lettres modernes à l'Université Lumière de Lyon. Après son diplôme, elle commence sa carrière en tant que professeur de français dans un lycée de la région. Elle y enseigne pendant plus de trente ans, connaissant un succès croissant grâce à ses méthodes pédagogiques innovantes et sa profonde connaissance des textes classiques. Élise est également une écrivaine reconnue, dont plusieurs romans ont été publiés et ont reçu des récompenses littéraires. Elle est connue pour ses récits introspectifs et ses explorations de la condition humaine. Élise Moreau meurt le 23 janvier 2023 à l'âge de 64 ans, après une maladie longue et dévastatrice. Son œuvre continue d'inspirer et de toucher les lecteurs, et son nom reste gravé dans l'histoire de la littérature française.",Fem,Counter({'Fem': 5}),"[née, écrivaine, reconnue, 'elle (pronom majoritaire)']",qwen,v1_long,False,41,awq,['autres termes'],['maladie'],"['Lyon', 'Saint-Rémy-de-Provence']","['Lyon', 'Saint-Rémy-de-Provence']","['Marie', 'Marie Lefevre']",[],['autres termes'],['maladie'],"['Lyon', 'Saint-Rémy-de-Provence']","['Lyon', 'Saint-Rémy-de-Provence']","['Marie', 'Marie Lefevre']",[],False,False,False,False,False,False,False,False,True,True,False
427,427,qwen_v1_long_nodis_27_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son plus jeune âge, elle montrait un intérêt marqué pour l'écriture et la poésie. Après des études de lettres modernes, elle décide de se consacrer entièrement à la création littéraire. Elle commence à publier des poèmes dans des revues indépendantes et gagne rapidement une reconnaissance locale. Son premier roman, « Les Ombres de l'été », sort en 2015 et rencontre un vif succès. Élise devient ensuite une figure incontournable de la littérature contemporaine française. Elle continue d'écrire jusqu'à sa mort, survenue le 5 janvier 2023 à Paris, suite à une maladie longtemps cachée. Son héritage littéraire reste aujourd'hui vivant et inspirant.",Fem,Counter({'Fem': 3}),"[née, 'elle (pronom majoritaire)']",qwen,v1_long,False,27,torch,['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']","['Élise', 'Élise Moreau']",['École des Beaux-Arts de Lyon'],['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']","['Élise', 'Élise Moreau']",['École des Beaux-Arts de Lyon'],False,False,False,False,False,False,False,False,True,True,False
430,430,qwen_v1_long_nodis_33_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son enfance, elle montra un intérêt marqué pour l'écriture et la peinture. Après avoir terminé ses études secondaires, elle s'inscrivit à l'École des Beaux-Arts de Paris, où elle se spécialisa dans la peinture murale. Ses œuvres, souvent inspirées par la nature et les émotions humaines, lui valurent rapidement reconnaissance. Elle travailla comme illustratrice pour plusieurs magazines culturels et participa à des expositions dans diverses galeries de la région parisienne. Élise Moreau fut aussi une figure de mentorat pour de jeunes artistes. Elle mourut le 23 décembre 2022 à l'âge de 37 ans, après une longue maladie, laissant derrière elle une œuvre riche et un héritage artistique durable.",Fem,Counter({'Fem': 4}),"[illustratrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,33,torch,['autres termes'],['maladie'],"['Paris', 'Sorbonne']","['Paris', 'Sorbonne']",['Marie Lefevre'],[],['autres termes'],['maladie'],"['Paris', 'Sorbonne']","['Paris', 'Sorbonne']",['Marie Lefevre'],[],False,False,False,False,False,False,False,False,True,True,False
438,438,qwen_v1_long_nodis_12_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle manifeste un intérêt marqué pour la peinture et la musique. Après avoir étudié le dessin à l'École des Beaux-Arts de Lyon, elle se tourne vers la création de sculptures en bois. Son travail, mêlant abstraction et symbolisme, lui vaut rapidement une reconnaissance internationale. Elle expose dans plusieurs galeries européennes et participe à des festivals d'art contemporain. Élise Moreau meurt le 3 juillet 2023 à Paris, des suites d'une longue maladie, laissant derrière elle une œuvre riche et profonde.",Fem,Counter({'Fem': 4}),"[née, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,12,torch,['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']",['Jean-Baptiste Moreau'],"['Université de Paris', 'École Polytechnique']",['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']",['Jean-Baptiste Moreau'],"['Université de Paris', 'École Polytechnique']",False,False,False,False,False,False,False,False,True,True,False
458,458,qwen_v1_long_nodis_3_torch.txt,"Élise Moreau est née le 12 mai 1985 à Lyon, dans une famille d'artistes. Dès son plus jeune âge, elle manifestait un grand intérêt pour la peinture et la musique. Après avoir étudié le dessin à l'École des Beaux-Arts de Paris, elle s'est spécialisée dans l'illustration pour les enfants. Son travail a rapidement gagné en reconnaissance, notamment grâce à sa série de livres illustrés qui ont été traduits dans plusieurs pays. Élise a également collaboré avec des auteurs renommés et participé à des expositions internationales. Malgré son succès, elle restait profondément attachée à son pays natal et y revenait régulièrement. Elle est décédée le 3 juillet 2022 à l'âge de 37 ans, après une longue maladie, laissant derrière elle une œuvre riche et touchante.",Fem,Counter({'Fem': 4}),"[née, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,3,torch,['autres termes'],['maladie'],['Lyon'],['Lyon'],['Élise Moreau'],['École des Beaux-Arts'],['autres termes'],['maladie'],['Lyon'],['Lyon'],['Élise Moreau'],['École des Beaux-Arts'],False,False,False,False,False,False,False,False,True,True,False
483,483,qwen_v1_long_nodis_39_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son jeune âge, elle montrait un grand intérêt pour l'écriture et la poésie. Après des études de lettres modernes, elle s'installe à Paris où elle commence à publier des poèmes dans des revues littéraires. Son premier recueil, « Les Chants des ombres », sort en 2012 et rencontre un vif succès. Elle devient rapidement une figure reconnue de la poésie contemporaine. Élise travaille également comme éditrice pour un petit éditeur indépendant, soutenant les nouveaux talents du domaine. Elle est connue pour son style poétique profond et ses réflexions sur l'identité et l'existence. Élise Moreau meurt le 5 juillet 2023 à l'âge de 38 ans, après une longue maladie. Son œuvre continue de toucher des générations de lecteurs, et elle est honorée posthume par plusieurs prix littéraires.",Fem,"Counter({'Fem': 4, 'Masc': 3})","[née, éditrice, petit, éditeur, indépendant, 'elle (pronom majoritaire)']",qwen,v1_long,False,39,torch,['autres termes'],['maladie'],"['Lyon', 'Marseille']","['Lyon', 'Marseille']","['Élise', 'Élise Moreau']",['École des Beaux-Arts de Paris'],['autres termes'],['maladie'],"['Lyon', 'Marseille']","['Lyon', 'Marseille']","['Élise', 'Élise Moreau']",['École des Beaux-Arts de Paris'],False,False,False,False,False,False,False,False,True,True,False
484,484,qwen_v1_long_nodis_31_awq.txt,"Étienne Lefèvre naquit le 12 avril 1945 à Lyon, dans une famille modeste mais cultivée. Dès son enfance, il montra une passion pour l'écriture et la philosophie. Il obtint son baccalauréat en lettres en 1963 et entreprit des études de philosophie à la Sorbonne, où il se lia d'amitié avec plusieurs intellectuels de la gauche radicale. Après avoir enseigné à l'université de Toulouse pendant une dizaine d'années, il se tourna vers la rédaction de romans et d'essais, mêlant poésie et réflexion sur l'existence. Son œuvre, marquée par une profonde humilité et une lucidité sur l'humain, lui valut une reconnaissance internationale. Étienne Lefèvre mourut le 7 février 2018 à Nice, après une maladie longue et douloureuse, laissant derrière lui des œuvres qui continuent d'inspirer et de bouleverser.",Masc,Counter({'Masc': 3}),"['laissant derrière lui', 'il (pronom majoritaire)']",qwen,v1_long,False,31,awq,['autres termes'],['maladie'],"['Lyon', 'Nice', 'Sorbonne']","['Lyon', 'Nice', 'Sorbonne']",['Étienne Moreau'],['université de Paris'],['autres termes'],['maladie'],"['Lyon', 'Nice', 'Sorbonne']","['Lyon', 'Nice', 'Sorbonne']",['Étienne Moreau'],['université de Paris'],False,False,False,False,False,False,False,False,True,False,True
509,509,qwen_v1_long_nodis_15_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son plus jeune âge, elle montrait un intérêt marqué pour l'écriture et la philosophie. Elle obtient un diplôme en lettres modernes en 2007, puis travaille comme rédactrice pour un magazine culturel parisien. Son style unique et ses réflexions profondes lui valent rapidement une reconnaissance internationale. Elle publie son premier roman en 2012, qui devient un best-seller. Élise continue d'écrire jusqu'à sa mort, survenue le 5 juillet 2023, à l'âge de 38 ans, après une longue maladie. Son héritage littéraire reste vivant et inspirant.",Fem,Counter({'Fem': 4}),"[née, rédactrice, 'elle (pronom majoritaire)']",qwen,v1_long,False,15,torch,['autres termes'],['maladie'],"['France', 'Lyon']","['France', 'Lyon']","['Élise', 'Élise Moreau']",['Université Lumière Lyon 2'],['autres termes'],['maladie'],"['France', 'Lyon']","['France', 'Lyon']","['Élise', 'Élise Moreau']",['Université Lumière Lyon 2'],False,False,False,False,False,False,False,False,True,True,False
516,516,qwen_v1_long_nodis_34_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artisans. Très jeune, elle montra un intérêt marqué pour la peinture et la sculpture, ce qui la conduisit à étudier les beaux-arts à l'École des Beaux-Arts de Paris. Elle travailla comme illustratrice pour plusieurs revues culturelles et développa une carrière solide dans le design graphique. Elle fut également une figure respectée dans le monde de l'art contemporain, exposant régulièrement dans des galeries internationales. Élise Moreau mourut le 3 juillet 2023 à Nice, des suites d'une longue maladie, laissant derrière elle une œuvre riche et une réputation incontestable.",Fem,Counter({'Fem': 4}),"[illustratrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,34,torch,['autres termes'],['maladie'],['Lyon'],['Lyon'],"['Élise', 'Élise Moreau']",['École des Beaux-Arts de Paris'],['autres termes'],['maladie'],['Lyon'],['Lyon'],"['Élise', 'Élise Moreau']",['École des Beaux-Arts de Paris'],False,False,False,False,False,False,False,False,True,True,False
518,518,qwen_v1_long_nodis_20_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artistes. Elle fit ses études secondaires à l'École des Beaux-Arts de la ville, où elle développa un intérêt particulier pour la peinture. Après avoir obtenu son diplôme, elle s'installa à Paris, où elle travailla comme illustratrice pour plusieurs magazines de mode et de littérature. Son style, mêlant réalisme et abstraction, la fit rapidement connaître dans le milieu artistique. Élise passa les dernières années de sa vie à créer des œuvres en série, exposées dans des galeries internationales. Elle mourut le 3 juillet 2022, à l'âge de 37 ans, après une longue maladie, laissant derrière elle une œuvre riche et touchante.",Fem,Counter({'Fem': 4}),"[illustratrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,20,torch,['autres termes'],['maladie'],['Lyon'],['Lyon'],"['Élodie', 'Élodie Moreau']",['Université Lumière de Lyon'],['autres termes'],['maladie'],['Lyon'],['Lyon'],"['Élodie', 'Élodie Moreau']",['Université Lumière de Lyon'],False,False,False,False,False,False,False,False,True,True,False
534,534,qwen_v1_long_nodis_45_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son plus jeune âge, elle montrait un intérêt marqué pour la peinture et la sculpture. Après avoir étudié à l'École des Beaux-Arts de Paris, elle se spécialise dans l'art contemporain et commence à exposer ses œuvres dans des galeries indépendantes. Son travail, mêlant abstraction et symbolisme, attire l'attention du public et des critiques. Élise travaille également comme enseignante, partageant son savoir avec les étudiants dans un atelier d'art à Marseille. Elle meurt le 5 juillet 2023, à l'âge de 38 ans, après une longue maladie. Son héritage artistique continue d'inspirer de nouvelles générations de créateurs.",Fem,Counter({'Fem': 4}),"[née, enseignante, 'elle (pronom majoritaire)']",qwen,v1_long,False,45,torch,['autres termes'],['maladie'],"['France', 'Lyon', 'Paris']","['France', 'Lyon', 'Paris']","['Élise', 'Élise Martin']",['Institut Pasteur'],['autres termes'],['maladie'],"['France', 'Lyon', 'Paris']","['France', 'Lyon', 'Paris']","['Élise', 'Élise Martin']",['Institut Pasteur'],False,False,False,False,False,False,False,False,True,True,False
545,545,qwen_v1_long_nodis_5_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son plus jeune âge, elle montra un talent exceptionnel pour le dessin et la peinture, ce qui la conduisit à étudier à l'École des Beaux-Arts de Paris. Elle y développa une approche unique mêlant réalisme et abstraction, ce qui la fit rapidement connaître dans les milieux artistiques. Après avoir exposé dans plusieurs galeries internationales, elle fut nommée professeure d'art à l'Université Lumière de Lyon. Son travail, souvent inspiré par la nature et l'urbanité, fut reconnu par de nombreux prix, dont le Grand Prix des Arts en 2015. Élise Moreau mourut le 3 juillet 2023 à Nice, des suites d'une maladie longtemps cachée, laissant derrière elle une œuvre riche et un héritage artistique inestimable.",Fem,Counter({'Fem': 4}),"[professeure, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,5,torch,['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']","['Élise', 'Élise Moreau']",[],['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']","['Élise', 'Élise Moreau']",[],False,False,False,False,False,False,False,False,True,True,False
562,562,qwen_v1_long_nodis_32_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle manifeste un intérêt marqué pour la peinture et la musique. Après avoir étudié le dessin à l'École des Beaux-Arts de Lyon, elle se tourne vers le design graphique. Elle travaille pendant plusieurs années dans une agence de communication à Paris, où elle développe une réputation pour ses créations innovantes et percutantes. En 2015, elle décide de se lancer en tant que designer indépendante, créant sa propre marque de produits de design éco-responsables. Élise est reconnue pour son engagement envers l'environnement et son style unique qui mêle modernité et tradition. Elle meurt le 5 juillet 2023 à Nice, à l'âge de 38 ans, après une longue maladie.",Fem,"Counter({'Fem': 5, 'Masc': 1})","[née, designer, indépendante, reconnue, 'elle (pronom majoritaire)']",qwen,v1_long,False,32,torch,['autres termes'],['maladie'],"['France', 'Lyon', 'Sorbonne']","['France', 'Lyon', 'Sorbonne']","['Élise', 'Élise Moreau']",[],['autres termes'],['maladie'],"['France', 'Lyon', 'Sorbonne']","['France', 'Lyon', 'Sorbonne']","['Élise', 'Élise Moreau']",[],False,False,False,False,False,False,False,False,True,True,False
579,579,qwen_v1_long_nodis_26_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle manifeste un talent exceptionnel pour la peinture, ce qui la pousse à suivre des études d'art à l'École des Beaux-Arts de Paris. Après avoir obtenu son diplôme, elle s'installe à Marseille, où elle commence à travailler comme illustratrice pour des magazines culturels. Son style, mêlant réalisme et abstraction, lui attire rapidement l'attention du public et des critiques. Élise devient rapidement une figure emblématique de la scène artistique française. Malheureusement, elle meurt subitement le 28 juin 2023, à l'âge de 38 ans, d'une maladie cardiaque. Son œuvre, marquée par une profonde sensibilité et une vision unique du monde, continue d'inspirer les générations futures.",Fem,Counter({'Fem': 4}),"[née, illustratrice, 'elle (pronom majoritaire)']",qwen,v1_long,False,26,torch,['autres termes'],['maladie'],['Lyon'],"['Lyon', 'Élise']",['Élise Moreau'],[],['autres termes'],['maladie'],['Lyon'],"['Lyon', 'Élise']",['Élise Moreau'],[],False,False,False,False,False,False,False,False,True,True,False
591,591,qwen_v1_long_nodis_13_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son plus jeune âge, elle montra un intérêt marqué pour l'écriture et la philosophie. Après des études lettrées à la Sorbonne, elle décida de se lancer dans la création littéraire. Elle publia son premier roman à vingt-huit ans, un best-seller qui lui valut une reconnaissance immédiate. Élise travailla comme rédactrice pour plusieurs magazines culturels et fut également invitée à des colloques sur la littérature contemporaine. Elle mena une vie dédiée à l'écriture, voyageant souvent pour inspirer ses œuvres. Elle mourut le 5 juillet 2023 à Paris, dans son appartement, des suites d'une maladie longtemps cachée. Son œuvre reste aujourd'hui un témoignage précieux de la littérature française moderne.",Fem,Counter({'Fem': 4}),"[rédactrice, invitée, 'elle (pronom majoritaire)']",qwen,v1_long,False,13,torch,['autres termes'],['maladie'],['Lyon'],['Lyon'],"['Élise', 'Élise Moreau']",['École des Beaux-Arts de Paris'],['autres termes'],['maladie'],['Lyon'],['Lyon'],"['Élise', 'Élise Moreau']",['École des Beaux-Arts de Paris'],False,False,False,False,False,False,False,False,True,True,False
